,state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,one day minutes,percentage of minutes,one day charge,percentage of charge,one day calls,percentage of calls
609,WY,111,415,371-5556,no,no,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,False,579.6,0.02938127029181999,56.77,0.028650586640570092,257,0.02526985650261253
610,PA,91,510,334-5337,no,no,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,False,663.1999999999999,0.033619148477458616,67.44999999999999,0.034040550799831815,362,0.035594116941423094
611,KY,90,415,334-8817,no,no,0,193.7,83,32.93,154.2,79,13.11,299.0,60,13.46,12.7,3,3.43,1,False,659.6,0.033436656115397624,62.93,0.03175940491969483,225,0.022123415226022642
612,OR,151,510,339-1405,no,no,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,False,593.2,0.030070685881828187,57.32,0.028928159701206223,373,0.03667570613025087
613,NV,105,415,380-7742,yes,yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,True,642.1,0.03254954046649002,68.15,0.03439382560427782,298,0.029301234388243322
614,DC,41,408,329-6191,no,yes,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,False,658.1,0.03336061763120555,70.11,0.035382995056726596,326,0.03205437050525947
615,UT,48,510,340-3075,no,yes,43,172.0,111,29.24,200.2,64,17.02,233.1,96,10.49,8.0,5,2.16,1,False,613.3,0.031089601570002068,58.91,0.029730598185590696,276,0.027138056010587774
616,WA,166,408,416-5849,yes,yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,False,710.3999999999999,0.03601182611336942,60.949999999999996,0.030760141901404733,388,0.03815060047865238
617,FL,79,510,334-7443,no,no,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,False,629.9,0.03193109412839443,59.41,0.02998293733162355,386,0.03795394789886551
618,VA,153,510,394-9121,no,no,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,False,504.40000000000003,0.025569207617657012,55.92,0.02822161009231424,306,0.030087844707390794
619,KS,110,415,383-1657,yes,no,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,True,763.2,0.03868838075693067,81.81,0.041287731073895356,264,0.025958140531866566
620,KS,163,415,347-4112,no,no,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,False,666.4,0.03378136391040172,64.53999999999999,0.03257193696992062,301,0.029596213257923627
621,DC,126,510,362-8280,no,no,0,122.4,88,20.81,143.8,111,12.22,157.0,106,7.07,11.5,3,3.11,1,False,434.70000000000005,0.022035952718864993,43.21,0.021807149000159124,308,0.03028449728717766
622,ME,105,408,402-9982,no,yes,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,False,488.1,0.024742922756103063,56.42,0.02847394923834709,342,0.03362759114355442
623,LA,172,415,392-8905,no,no,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,False,633.7,0.032123724955014366,62.94,0.03176445170261549,308,0.03028449728717766
624,DC,126,415,392-5512,no,no,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,False,636.3000000000001,0.03225552499428064,58.78,0.02966499000762216,315,0.0309727813164317
625,TX,97,510,351-6384,no,no,0,144.2,91,24.51,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,False,529.3,0.026831446455245545,54.019999999999996,0.027262721337389398,304,0.029891192127603924
626,NJ,95,408,348-8015,yes,yes,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,True,614.7,0.03116057082191468,63.519999999999996,0.0320571651120136,292,0.028711276648882716
627,DE,87,510,374-6966,no,no,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2.0,4,False,673.6999999999999,0.03415141786680318,70.42999999999999,0.03554449211018762,289,0.028416297779202418
628,VT,97,415,328-2236,no,no,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,False,489.0,0.024788545846618312,46.26,0.023346417790959525,309,0.030382823577071096
629,GA,76,415,372-6497,no,no,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,True,750.6000000000001,0.03804965748971719,83.37,0.042075029209517854,355,0.03490583291216906
630,TX,140,408,417-8617,no,no,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,False,604.7,0.03065364759396747,61.53,0.031052855310802846,303,0.029792865837710493
631,MT,169,415,361-9621,no,no,0,100.8,112,17.14,230.0,69,19.55,193.6,95,8.71,9.5,2,2.57,0,False,533.9,0.02706463114010126,47.97,0.02420941767039188,278,0.02733470859037464
632,ND,68,408,421-2723,no,yes,22,82.5,97,14.03,289.9,94,24.64,180.0,114,8.1,4.8,4,1.3,3,False,557.1999999999999,0.028245762261218246,48.07,0.024259885499598455,309,0.030382823577071096
633,NJ,122,415,327-9341,no,yes,34,146.4,104,24.89,89.7,103,7.62,220.0,91,9.9,15.6,4,4.21,2,False,471.70000000000005,0.02391156866226965,46.62,0.02352810197610318,302,0.029694539547817058
634,MO,36,408,383-5474,no,no,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,False,719.5999999999999,0.03647819548308085,66.03,0.03332390762509852,324,0.0318577179254726
635,CO,120,510,328-8147,no,yes,27,153.5,84,26.1,194.0,73,16.49,256.5,94,11.54,10.2,7,2.75,5,False,614.2,0.031135224660517317,56.88,0.02870610125269732,258,0.025368182792505963
636,KS,121,408,373-5438,no,no,0,150.7,105,25.62,197.3,133,16.77,169.0,116,7.61,9.2,15,2.48,1,False,526.2,0.026674300254581913,52.48,0.02648551676760821,369,0.036282400970677135
637,NC,64,408,333-9253,no,yes,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,False,552.5,0.02800750834408306,54.17,0.027338423081199256,319,0.03136608647600544
638,MT,13,415,347-9421,no,yes,31,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,False,685.1,0.034729310346662996,72.80000000000001,0.036740579662383345,307,0.03018617099728423
639,DE,106,415,419-3167,no,no,0,128.6,83,21.86,134.0,114,11.39,210.6,113,9.48,11.4,2,3.08,0,False,484.6,0.02456549962632154,45.81,0.02311931255952996,312,0.030677802446751397
640,ND,88,415,414-4162,no,no,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,False,549.1,0.027835154446581016,53.620000000000005,0.027060850020563118,299,0.029399560678136757
641,VA,74,408,416-5341,no,no,0,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,False,582.0999999999999,0.029508001098806785,57.0,0.0287666626477452,331,0.03254600195472664
642,IL,83,415,368-8600,no,no,0,195.0,92,33.15,210.5,83,17.89,180.6,92,8.13,11.0,13,2.97,0,False,597.1,0.030268385940727595,62.14,0.031360709068962926,280,0.02753136117016151
643,OK,49,415,336-6085,no,no,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,False,734.3000000000001,0.03722337262816325,73.88,0.0372856322178143,307,0.03018617099728423
644,CO,111,510,377-1479,no,yes,24,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14.0,4,3.78,1,False,654.7,0.033188263733703496,67.08,0.03385381983176751,312,0.030677802446751397
645,MT,50,415,360-2107,no,yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,False,597.7,0.03029880133440443,67.53999999999999,0.03408597184611773,361,0.03549579065152966
646,WV,153,408,405-9384,no,yes,28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,False,649.1999999999999,0.03290945595833253,71.24,0.03595328152676085,223,0.021926762646235776
647,ME,88,415,420-5179,no,no,0,192.0,91,32.64,127.6,127,10.85,155.6,125,7.0,7.5,5,2.03,1,False,482.70000000000005,0.024469184213011575,52.52,0.02650570389929084,348,0.03421754888291502
648,WI,131,415,331-3174,no,yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,False,284.3,0.014411827370539032,27.54,0.013898840163489523,356,0.03500415920206249
649,MO,79,408,411-5958,no,no,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6.0,3,1.62,3,True,735.0,0.037258857254119544,75.56,0.038133491748484696,231,0.022713372965383248
650,NY,140,415,333-8180,no,no,0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,False,607.3,0.030785447633233744,69.64999999999999,0.03515084304237637,326,0.03205437050525947
651,CT,105,408,357-2679,no,no,0,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,False,607.5,0.030795586097792687,64.36,0.03248109487734879,251,0.02467989876325193
652,AR,54,415,396-2867,no,yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,False,543.1,0.027531000509812692,57.47,0.029003861445016085,336,0.033037633404193814
653,WY,87,415,341-9443,no,yes,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,False,583.8000000000001,0.029594178047557818,65.3,0.03295549247189055,292,0.028711276648882716
654,CA,96,510,341-4103,no,yes,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,False,569.5,0.028869277831593307,58.739999999999995,0.029644802875939524,330,0.032447675664833205
655,CA,79,510,416-8701,no,no,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,True,592.6,0.030040270488151354,56.25,0.02838815392869592,273,0.026843077140907477
656,MN,55,415,397-6109,no,no,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,False,636.1999999999999,0.03225045576200116,59.14,0.02984667419276581,324,0.0318577179254726
657,AK,130,415,392-5587,no,no,0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,False,497.00000000000006,0.02519408442897608,58.88999999999999,0.02972050461974938,306,0.030087844707390794
658,VA,34,415,392-9342,no,no,0,151.0,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,False,478.9,0.024276553386391633,47.910000000000004,0.024179136972867943,296,0.029104581808456452
659,CO,139,415,368-2845,no,no,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,False,445.8,0.022598637501886388,45.77,0.023099125427847332,268,0.026351445691440302
660,MT,109,408,405-4920,no,no,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,True,776.6,0.03936765788237992,82.38,0.041575397700372795,284,0.027924666329735247
661,SD,65,408,348-7484,no,yes,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,False,671.8,0.03405510245349321,74.3,0.0374975971004819,256,0.025171530212719097
662,NE,63,415,338-5207,no,no,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,False,720.3999999999999,0.036518749341316624,71.07999999999998,0.03587253300003032,233,0.022910025545170114
663,VT,152,415,418-7846,no,no,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2.0,3,False,412.69999999999993,0.020920721617381136,50.08,0.02527428886665052,306,0.030087844707390794
664,ND,147,408,358-8729,no,no,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,False,620.4,0.03144951706184458,62.01,0.03129510089099439,311,0.030579476156857965
665,GA,112,415,349-1943,no,yes,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,False,681.8,0.034562025681440414,64.6,0.032602217667444554,378,0.03716733757971804
666,OR,120,415,368-8283,no,no,0,252.0,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,False,563.6,0.028570193127104463,65.03,0.032819229333032815,323,0.03175939163557917
667,MT,27,510,345-1419,no,no,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,False,457.8,0.023206945375423036,51.66,0.02607168056811433,333,0.03274265453451351
668,WY,171,415,358-8025,no,no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,False,639.0999999999999,0.03239746349810585,67.96999999999998,0.034302983511705985,334,0.032840980824406944
669,GA,101,415,383-8695,no,yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,False,609.6,0.030902039975661603,63.5,0.032047071546172284,324,0.0318577179254726
670,WV,32,408,370-7565,no,yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,False,728.0999999999999,0.03690908022683598,79.07000000000001,0.03990491255363532,318,0.031267760186112
671,CT,3,415,401-6162,no,yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,False,455.4,0.023085283800715704,46.8,0.023618944068675006,337,0.033135959694087246
672,IL,151,408,386-5303,no,no,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,False,491.6,0.024920345885884588,52.47,0.026480469984687553,286,0.028121318909522113
673,CO,60,408,351-6552,no,no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,False,596.4000000000001,0.030232901314771295,54.95,0.02773207214901051,243,0.023893288444104453
674,DE,119,415,345-5338,no,no,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,False,613.6,0.03110480926684048,60.4,0.0304825688407686,263,0.025859814241973134
675,LA,43,415,330-2849,no,no,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,False,642.0,0.032544471234210545,65.63,0.033122036308272235,329,0.03234934937493977
676,MA,42,408,364-6801,no,no,0,241.2,134,41.0,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,False,520.5,0.026385354014652005,60.61,0.030588551282102396,343,0.03372591743344785
677,IN,84,408,375-3003,no,no,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,False,580.8,0.02944210107917365,64.83,0.032718293674619675,291,0.028612950358989288
678,NY,65,510,383-8878,no,no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,False,564.0,0.02859047005622235,59.05,0.029801253146479894,328,0.03225102308504634
679,TX,75,415,384-2372,yes,no,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,True,766.1,0.03883538849303536,77.32,0.03902172554252033,302,0.029694539547817058
680,KS,116,510,377-7107,no,no,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,False,598.2,0.03032414749580179,61.14999999999999,0.030861077559817873,293,0.028809602938776154
681,WV,107,415,361-1581,no,no,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,False,546.9,0.027723631336432627,48.419999999999995,0.024436522901821446,269,0.02644977198133374
682,NE,189,415,417-7888,no,yes,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,False,541.6,0.027454962025620613,65.05,0.03282932289887413,308,0.03028449728717766
683,ND,123,408,383-8364,no,no,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,False,609.6,0.030902039975661603,58.46,0.029503492954161135,334,0.032840980824406944
684,AK,110,408,396-2335,no,no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3,False,548.9,0.027825015982022066,49.05,0.024754470225822844,248,0.024384919893571624
685,CO,63,415,408-4530,no,yes,32,30.9,113,5.25,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,False,457.30000000000007,0.023181599214025676,33.86,0.017088406969344782,334,0.032840980824406944
686,ME,176,415,408-6621,no,no,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,False,602.1,0.0305218475547012,65.84,0.033228018749606035,289,0.028416297779202418
687,SC,108,510,393-7522,no,no,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,False,616.0,0.03122647084154781,61.96999999999999,0.031274913759311754,342,0.03362759114355442
688,MN,13,510,338-7120,no,yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,False,796.7,0.04038657357055381,86.38,0.04359411086863562,302,0.029694539547817058
689,CO,71,415,357-4265,no,no,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,False,544.4000000000001,0.02759690052944583,66.29999999999998,0.03346017076395625,328,0.03225102308504634
690,KS,88,415,398-8801,no,no,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,False,636.5,0.032265663458839584,63.61,0.032102586158299515,326,0.03205437050525947
691,MS,137,510,346-2347,no,no,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,False,522.9000000000001,0.02650701558935934,51.92999999999999,0.026207943706972072,319,0.03136608647600544
692,NE,82,408,343-2741,no,no,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,False,660.1,0.03346200227679499,65.27000000000001,0.03294035212312859,281,0.027629687460054946
693,NJ,92,510,420-8242,no,yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,False,606.8,0.03076010147183638,56.06999999999999,0.02829731183612409,336,0.033037633404193814
694,WI,165,510,402-7746,no,no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,False,622.5,0.0315559709397135,60.48,0.030522943104133855,302,0.029694539547817058
695,MT,96,415,332-1494,no,no,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,False,434.9,0.022046091183423933,38.6,0.019480582073736225,330,0.032447675664833205
696,AR,156,415,388-6223,no,no,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,False,533.9000000000001,0.027064631140101266,55.2,0.027858241722026934,271,0.026646424561120607
697,WA,63,408,404-9539,no,no,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,False,638.6,0.0323721173367085,60.4,0.0304825688407686,255,0.025073203922825665
698,NH,37,415,341-7332,no,no,0,206.0,89,35.02,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,False,707.5,0.03586481837726474,66.92,0.033773071305037,274,0.026941403430800905
699,IA,98,415,338-7886,no,no,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0,False,606.1,0.030724616845880078,64.49,0.03254670305531733,288,0.028317971489308983
700,WV,121,415,332-5596,no,no,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,False,410.2,0.02079399081039434,38.94,0.019652172693038563,308,0.03028449728717766
701,RI,94,415,348-9945,no,no,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,False,434.4,0.022020745022026573,45.06999999999999,0.022745850623401332,319,0.03136608647600544
702,KS,99,415,407-1896,no,no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,False,612.8000000000001,0.031064255408604708,61.2,0.03088631147442116,329,0.03234934937493977
703,MT,163,510,398-9408,no,yes,23,160.0,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,False,589.6999999999999,0.029893262752046658,56.46,0.02849413637002972,293,0.028809602938776154
704,MO,161,510,369-8005,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,False,615.3,0.031190986215591503,64.59,0.03259717088452391,294,0.028907929228669586
705,HI,99,415,346-2530,no,no,0,62.9,81,10.69,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,1,False,471.29999999999995,0.023891291733151757,40.23,0.020303207689803322,271,0.026646424561120607
706,CO,108,415,400-5984,no,no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,False,608.9,0.030866555349705296,62.97,0.03177959205137747,267,0.02625311940154687
707,CT,84,510,351-1007,no,yes,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,False,657.2,0.0333149945406903,60.89,0.030729861203880795,294,0.028907929228669586
708,ID,83,415,345-5980,yes,yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,False,460.1,0.02332353771785089,41.099999999999994,0.020742277803900484,324,0.0318577179254726
709,DC,139,510,368-8964,no,no,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,False,563.2,0.028549916197986577,59.019999999999996,0.029786112797717923,259,0.025466509082399398
710,TN,69,510,358-1912,no,no,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,False,684.4,0.03469382572070669,66.7,0.033662042080782544,301,0.029596213257923627
711,WY,129,510,379-3132,no,no,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,False,665.5,0.03373574081988648,62.38999999999999,0.03148687864197935,306,0.030087844707390794
712,MO,106,415,340-9910,no,no,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,False,425.4,0.021564514116874087,36.58,0.0184611319237635,283,0.027826340039841815
713,VA,158,415,396-2719,no,no,0,222.8,101,37.88,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,False,643.3,0.03261037125384368,66.48,0.03355101285652809,337,0.033135959694087246
714,SD,168,415,369-6204,no,yes,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,False,569.4,0.028864208599313837,57.71,0.029124984235111853,261,0.025663161662186268
715,WV,115,510,420-9971,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,True,659.3999999999999,0.03342651765083867,74.05,0.03737142752746547,326,0.03205437050525947
716,GA,57,408,410-3782,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,False,709.9,0.035986479951972065,71.63999999999999,0.03615515284358712,344,0.03382424372334128
717,AZ,67,415,404-4481,no,no,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,False,616.8,0.03126702469978358,64.48,0.03254165627239668,291,0.028612950358989288
718,AK,127,408,383-9255,no,no,0,182.3,124,30.99,169.9,110,14.44,184.0,116,8.28,9.3,3,2.51,1,False,545.5,0.02765266208452002,56.22,0.02837301357993395,353,0.03470918033238219
719,AK,78,510,418-9385,no,no,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,False,653.0,0.03310208678495247,63.58,0.03208744580953754,291,0.028612950358989288
720,CT,100,415,360-9676,no,yes,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2.0,0,False,590.9,0.02995409353940033,56.94,0.028736381950221258,270,0.026548098271227172
721,UT,103,510,327-3587,no,yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,True,434.09999999999997,0.022005537325188156,39.65,0.020010494280405213,287,0.02821964519941555
722,KY,113,415,385-4715,no,no,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,False,527.9,0.026760477203332935,61.480000000000004,0.031027621396199564,341,0.033529264853660985
723,MI,78,510,414-2695,no,no,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3,False,595.7,0.03019741668881499,56.64,0.028584978462601548,305,0.029989518417497363
724,OR,129,510,331-5999,no,yes,36,192.8,103,32.78,177.0,83,15.05,216.5,118,9.74,16.4,5,4.43,1,False,602.6999999999999,0.03055226294837803,62.0,0.03129005410807373,309,0.030382823577071096
725,TN,57,510,337-7739,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,False,593.1,0.030065616649548717,56.04,0.028282171487362125,314,0.030874455026538263
726,WV,82,408,388-6658,no,no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,False,609.8999999999999,0.03091724767250001,54.0,0.027252627771548087,315,0.0309727813164317
727,NJ,64,415,405-6943,no,no,0,224.8,111,38.22,190.0,101,16.15,221.4,110,9.96,9.2,2,2.48,1,False,645.4000000000001,0.0327168251317126,66.81,0.03371755669290977,324,0.0318577179254726
728,MS,86,510,382-4084,no,yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,False,643.0,0.032595163557005265,73.01,0.036846562103717145,329,0.03234934937493977
729,ME,151,415,352-8249,no,yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,False,607.5,0.030795586097792687,61.949999999999996,0.03126482019347044,338,0.03323428598398068
730,WY,94,510,353-8363,no,no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,True,706.9,0.0358344029835879,76.4,0.03855742151381989,264,0.025958140531866566
731,WY,90,415,416-2825,no,no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,False,734.0,0.037208164931324825,72.41999999999999,0.03654880191139837,329,0.03234934937493977
732,IN,48,510,342-6696,no,no,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,False,638.2,0.032351840407590614,73.21,0.036947497762130285,296,0.029104581808456452
733,NM,85,408,338-9210,no,yes,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,False,583.3,0.02956883188616045,62.39,0.031486878641979354,297,0.02920290809834989
734,NJ,93,415,328-1768,yes,yes,20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,False,544.7,0.027612108226284248,57.470000000000006,0.029003861445016085,335,0.03293930711430038
735,DC,169,415,406-5870,yes,no,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,False,538.0,0.027272469663559618,40.8,0.020590874316280774,285,0.028022992619628682
736,UT,68,415,398-3834,no,no,0,162.1,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,True,517.8,0.02624848474310626,52.24999999999999,0.026369440760433096,268,0.026351445691440302
737,KY,91,415,330-7754,yes,no,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,True,561.2,0.028448531552397134,54.169999999999995,0.02733842308119925,345,0.03392257001323472
738,KS,68,510,414-9054,no,no,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,False,622.0,0.031530624778316134,60.13,0.03034630570191086,295,0.02900625551856302
739,MI,101,510,350-2832,no,no,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,False,611.8999999999999,0.031018632318089455,61.70000000000001,0.031138650620454022,294,0.028907929228669586
740,UT,67,510,414-9027,no,yes,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,False,591.3,0.029974370468518217,65.11,0.03285960359639807,215,0.021140152327088303
741,NE,66,415,337-1225,no,no,0,34.0,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,False,453.70000000000005,0.02299910685196468,38.4,0.019379646415323082,317,0.031169433896218568
